Ano;Mês;Natureza Jurídica - Código;Natureza Jurídica - Nome;II;IE;IPI;IRPF;IRPJ;IRRF;IOF;ITR;Cofins;Pis/Pasep;CSLL;Cide;Contribuição Previdenciária;CPSSS;Pagamento Unificado;Outras Receitas Administradas;Receitas Não Administradas;;;;;
2016;Jan;118;ÓRGÃO PÚBLICO AUTÔNOMO MUNICIPAL;;;;;9.263,64;3.489,83;;;313,39;9.026,07;4.054,90;;913,26;;;1.761,17;50,75;;;;;
2016;Jan;120;FUNDO PÚBLICO;;;;;1.498,58;176.885.730,23;1.932,19;;33.270,13;5.951.450,73;16.481,91;139,75;222.677,27;;5.373.951,08;34.056,31;1.507.009,56;;;;;
2016;Jan;121;CONSÓRCIO PÚBLICO DE DIREITO PÚBLICO (ASSOCIAÇÃO PÚBLICA);;;;;;687.578,77;;;35.897,59;462.741,71;7.870,71;;418.475,28;;311.030,63;;3.459,97;;;;;
2016;Jan;122;CONSÓRCIO PÚBLICO DE DIREITO PRIVADO;;;;;;242.666,71;;;;34.259,13;;;23.919,35;;16.746,57;;;;;;;
2016;Jan;123;ESTADO OU DISTRITO FEDERAL;;;;;;123;;;;340.512.794,14;;;8.328.473,63;;5.084.858,84;154.650,38;31.867,06;;;;;
2016;Jan;124;MUNICÍPIO;335,95;;;4.986,25;4.909,91;122.227,46;;1.513,95;33.431,85;363.602.790,98;4.865,76;41.148,31;10.154.593,13;;5.824.943,37;66.636.185,82;1.998.943,14;;;;;
2016;Jan;125;FUNDAÇÃO PÚBLICA DE DIREITO PRIVADO FEDERAL;;;;;;87.580,34;1.878.690,98;;;4.376,27;;;;;136.727,85;;;;;;;
2016;Jan;126;FUNDAÇÃO PÚBLICA DE DIREITO PRIVADO ESTADUAL OU DO DISTRITO FEDERAL;;;;;;88.472,52;;;;319.634,52;;;13.101,51;;31.956,75;;;;;;;
2016;Jan;127;FUNDAÇÃO PÚBLICA DE DIREITO PRIVADO MUNICIPAL;;;;;;1.789.648,86;;;;339.565,25;;;;;1.378.308,24;515,44;5.602,30;;;;;
2016;Jan;201;EMPRESA PÚBLICA;23.445.184,86;;906.739,13;;2.521.302.580,16;1.025.131.627,00;377.457.489,25;56.433,44;246.166.863,10;40.352.633,08;1.873.821.886,04;738.430,97;8.596.777,76;7.299.416,96;165.313.540,07;508.509.857,88;3.338.219,79;;;;;
2016;Jan;203;SOCIEDADE DE ECONOMIA MISTA;13.180.998,11;;6.037.013,82;;160.461.254,65;1.700.004.533,42;493.127.992,77;543.893,05;2.557.624.453,38;517.684.149,22;84.094.583,83;493.093.222,62;26.980.868,05;2.873.889,38;948.521.676,52;20.244.665,58;2.283.302.227,31;;;;;
2016;Jan;204;SOCIEDADE ANÔNIMA ABERTA;117.465.444,01;;838.344.940,74;;1.047.164.114,89;2.545.937.600,08;837.286.049,31;480.724,94;2.113.784.675,45;440.164.800,52;515.106.690,63;11.658.435,25;112.369.599,07;;342.749.062,31;9.003.127,75;83.101.850,08;;;;;
2016;Jan;205;SOCIEDADE ANÔNIMA FECHADA;534.854.181,16;8.757,55;621.230.861,33;;7.703.147.414,39;4.817.475.845,12;1.284.037.147,63;3.606.690,09;3.892.808.774,09;761.585.310,33;4.471.970.665,85;89.037.462,04;457.275.640,11;;609.811.997,14;67.593.269,25;261.359.896,29;;;;;
2016;Jan;206;SOCIEDADE EMPRESÁRIA LIMITADA;2.231.927.177,32;1.353.196,01;2.531.605.031,84;21.537,80;7.994.635.938,31;4.683.417.963,02;58.748.911,84;3.129.914,53;7.420.632.939,46;1.599.449.195,86;3.885.898.085,30;199.117.337,10;1.134.235.813,23;1.916,41;5.401.691.537,19;207.006.842,79;519.571.211,06;;;;;
2016;Jan;207;SOCIEDADE EMPRESÁRIA EM NOME COLETIVO;;;49.792,78;;1.690.192,91;80.438,06;7.811,01;41,62;738.046,63;174.874,07;1.024.516,02;;95.979,57;;1.093.274,11;20.960,20;29.164,93;;;;;
2016;Jan;208;SOCIEDADE EMPRESÁRIA EM COMANDITA SIMPLES;17.052,12;;8.221,15;;493.594,21;98.619,75;;;59.965,78;12.994,84;152.165,62;;;;118.412,17;944,4;1.345,66;;;;;
2016;Jan;209;SOCIEDADE EMPRESÁRIA EM COMANDITA POR AÇÕES;17.438,63;;1.322,43;;335.155,53;46.559,06;;;235.842,69;50.406,11;203.047,55;;155.087,96;;1.356,59;482,1;399,21;;;;;
2016;Jan;210;SOCIEDADE MERCANTIL DE CAPITAL E INDÚSTRIA;;;;;208,62;80,05;;;65,78;32,3;112,32;;43.720,43;;19.706,87;;;;;;;
2016;Jan;212;SOCIEDADE EM CONTA DE PARTICIPAÇÃO;1.457,31;;;;594.213,37;19.332,89;;32,7;249.400,89;60.143,83;694.904,64;;20.967,63;;72.097,28;1.618,80;237,82;;;;;
2016;Jan;213;EMPRESÁRIO (INDIVIDUAL);3.222.826,54;632,22;3.410.800,47;7.987,71;124.619.120,78;29.596.375,43;29.987,71;4.553,03;70.641.477,91;16.026.046,51;89.479.872,25;2.460,60;15.966.982,18;;1.508.674.986,35;18.180.671,88;4.659.251,26;;;;;
2016;Jan;214;COOPERATIVA;3.455.818,96;;1.738.779,22;;51.960.069,91;560.297.598,25;50.298.090,74;3.570,86;74.172.235,59;23.848.146,83;33.037.555,41;553.922,65;20.128.256,83;;72.193.730,33;7.321.630,18;2.624.881,86;;;;;
2016;Jan;215;CONSÓRCIO DE SOCIEDADES;561.069,09;;168.792,47;;1.478.879,12;29.965.575,11;;114,14;2.239.903,63;495.101,00;684.063,16;134.747,02;11.496.529,86;;8.736.547,22;63.013,26;1.342.304,68;;;;;
2016;Jan;216;GRUPO DE SOCIEDADES;;;;;41.807,01;;;;;;19.101,23;;;;15,77;;42;;;;;
2016;Jan;217;ESTABELECIMENTO, NO BRASIL, DE SOCIEDADE ESTRANGEIRA;405.844,59;;274.492,87;;8.170.149,47;24.612.159,34;504.927,91;10.558,88;6.216.773,18;1.226.809,11;3.428.256,73;9.121,39;691.496,82;;2.595.978,05;1.103.070,79;15.398,10;;;;;
2016;Jan;221;EMPRESA DOMICILIADA NO EXTERIOR;15.090,32;;;;3.159,98;5.344.353,99;;;839,21;175,69;1.879,50;;;;9.997,13;49,72;54.604,32;;;;;
2016;Jan;222;CLUBE/FUNDO DE INVESTIMENTO;463,11;;;;970,98;58.702,41;;555,34;;;2.454,07;;;;21.851,25;11.100,95;12.185,58;;;;;
2016;Jan;223;SOCIEDADE SIMPLES PURA;31.551,65;;1.173,21;11.127,23;413.370.405,30;45.369.524,55;85.784,71;3.050,79;59.037.705,89;13.059.544,91;159.596.605,28;491.322,61;900.172,39;;105.127.480,88;559.788,09;319.626,56;;;;;
2016;Jan;224;SOCIEDADE SIMPLES LIMITADA;155.544,54;;36.839,23;392,26;561.145.892,52;94.201.156,60;175.067,31;66.679,77;96.489.502,76;21.369.621,98;249.276.533,41;979.884,38;16.502.341,61;553,2;276.991.682,52;3.144.558,09;2.018.379,75;;;;;
2016;Jan;225;SOCIEDADE SIMPLES EM NOME COLETIVO;;;;;791.257,44;28.415,14;;305,22;120.096,76;27.375,50;352.522,14;;2.586,47;;251.086,99;2.898,94;793,58;;;;;
2016;Jan;226;SOCIEDADE SIMPLES EM COMANDITA SIMPLES;;;;;4.484,33;1.027,73;;;2.644,43;595,61;3.324,96;;;;27.644,19;;;;;;;
2016;Jan;228;CONSÓRCIO DE EMPREGADORES;;;;;;359.373,39;;;;1.708,35;;;105.046,91;;2.033,43;982,51;;;;;;
2016;Jan;229;CONSÓRCIO SIMPLES;;;;;;256,94;;;;;;;;;;;;;;;;
2016;Jan;230;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);33.685.477,75;171.578,58;30.279.343,81;1.511,88;180.947.724,44;49.629.729,65;433.158,14;41.245,07;132.356.056,99;29.593.852,48;100.071.366,43;35.075,79;28.888.987,24;52,38;599.652.764,58;5.528.378,65;2.433.853,61;;;;;
2016;Jan;231;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA(DE NATUREZA SIMPLES);925,15;;5.128,79;;10.138.223,64;2.011.574,05;;;1.848.672,20;425.315,48;5.198.114,00;;560.614,58;;11.741.574,46;115.141,00;49.015,95;;;;;
2016;Jan;303;SERVIÇO NOTARIAL E REGISTRAL (CARTÓRIO);;;;;5.875,79;326.579,19;686,6;;1.563,60;59.463,76;4.497,35;;174.516,58;1.888,18;27.007,05;10.582,52;3.092,80;;;;;
2016;Jan;306;FUNDAÇÃO PRIVADA;104.383,79;;16.200,14;;317.422,57;350.866.653,38;9.420.769,88;730,06;13.322.821,54;11.153.674,91;254.258,07;77.456,82;3.596.903,41;1.475,22;29.010.256,18;1.563.145,50;374.040,13;;;;;
2016;Jan;307;SERVIÇO SOCIAL AUTÔNOMO;10.000,66;;14.559,25;;;103.685.333,30;;;865.383,06;10.003.015,66;111.017,69;456.194,20;9.824,12;;13.763.019,30;660.363,20;1.475.401,46;;;;;
2016;Jan;308;CONDOMÍNIO DE EDIFÍCIO;2.301,22;;;18,21;305.273,34;29.589.433,37;;621,65;364.248,07;15.865.037,35;180.250,71;8.849,78;2.009.608,42;;43.795.184,18;85.054,58;236.958,09;;;;;
2016;Jan;310;COMISSÃO DE CONCILIAÇÃO PRÉVIA;;;;;;7.243,62;;;;576,03;;;;;7.915,43;;;;;;;
2016;Jan;311;ENTIDADE DE MEDIAÇÃO E ARBITRAGEM;;;;;;4.085,97;;;175,83;588,55;;;;;320,01;500;21;;;;;
2016;Jan;313;ENTIDADE SINDICAL;;;;;59.272,84;40.474.024,61;73,88;1.002,13;2.696.986,44;2.974.897,42;65.210,71;1.588,06;2.363.150,89;3.465,15;4.947.037,09;562.253,80;167.429,76;;;;;
2016;Jan;320;ESTABELECIMENTO, NO BRASIL, DE FUNDAÇÃO OU ASSOCIAÇÃO ESTRANGEIRAS;44,53;;;;216,65;180.710,37;;;5.512,71;12.135,00;276,66;;;;22.660,73;2.100,00;;;;;;
2016;Jan;321;FUNDAÇÃO OU ASSOCIAÇÃO DOMICILIADA NO EXTERIOR;48,36;;;;1.323.711,12;11.801,56;;74,59;;;;;;;621,46;;;;;;;
2016;Jan;322;ORGANIZAÇÃO RELIGIOSA;6.796,53;;;;60.131,56;22.716.255,18;;9.787,50;150.722,50;1.226.968,51;24.065,81;2.144,17;214.442,79;;1.100.648,59;133.087,60;76.173,92;;;;;
2016;Jan;323;COMUNIDADE INDÍGENA;;;;;;135,22;;;;735,08;;;;;419,17;;;;;;;
2016;Jan;325;ÓRGÃO DE DIREÇÃO NACIONAL DE PARTIDO POLÍTICO;;;;;;723.730,63;;;;29.600,20;;;3.449,16;;204.980,32;15.167,87;395,52;;;;;
2016;Jan;326;ÓRGÃO DE DIREÇÃO REGIONAL DE PARTIDO POLÍTICO;;;;;;235.368,64;;;240;24.534,29;147,49;;14.971,05;;57.517,04;11.236,91;123.861,39;;;;;
2016;Jan;327;ÓRGÃO DE DIREÇÃO LOCAL DE PARTIDO POLÍTICO;;;;;;91.636,02;;;87,3;9.133,06;;;20.043,30;;23.135,72;58.718,86;49.138,13;;;;;
2016;Jan;330;ORGANIZAÇÃO SOCIAL (OS);;;;;;721.828,59;;;126.087,16;57.121,78;;;29.907,78;;367.655,36;2.749,41;119,03;;;;;
2016;Jan;399;ASSOCIAÇÃO PRIVADA;1.126.293,36;;519.314,87;;5.877.445,87;1.032.111.761,83;6.204.923,54;25.180,68;49.623.533,88;58.689.454,22;4.045.538,24;1.124.188,79;18.035.593,10;8.022,15;113.593.503,49;5.097.732,71;5.024.564,20;;;;;
2016;Jan;401;EMPRESA INDIVIDUAL IMOBILIÁRIA;;;1.537,17;;2.499.155,42;14.349,83;;;2.482.547,12;546.917,51;1.863.309,30;;42.541,47;;228.647,49;43.934,48;21.523,78;;;;;
2016;Jan;408;CONTRIBUINTE INDIVIDUAL;;;;;;595,74;;;;;;;;;;;;;;;;
2016;Jan;409;CANDIDATO A CARGO POLÍTICO ELETIVO;;;;;;68,98;;;;;;;;;14,88;;3.688,31;;;;;
2016;Jan;412;PRODUTOR RURAL (PESSOA FÍSICA);;;;;3.448,17;616.918,60;;2.508,95;6.666,62;1.290,07;2.138,66;;26.546,88;;7.747,13;99.955,57;92.165,49;;;;;
2016;Jan;501;ORGANIZAÇÃO INTERNACIONAL;7.903,78;;;;;38.973,18;;;;9.375,65;;;;;17.306,49;;;;;;;
2016;Jan;502;REPRESENTAÇÃO DIPLOMÁTICA ESTRANGEIRA;28.046,64;;6.534,39;;;6.490,11;;;1.681,26;4.013,08;;;;;10.318,46;1.049,22;;;;;;
2016;Jan;503;OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS;;;;;;;;;;;;;;;33,2;;;;;;;
2016;Jan;IN;INVÁLIDO;5.139,72;;;5.719,92;111.203,34;159.845,98;;5.372,99;59.745,21;22.864,89;91.084,97;;18.601,51;1.392,11;16.580.291,31;10.582.838,24;55.950,21;;;;;
2016;Jan;PF;PESSOA FÍSICA;11.982.139,30;2.326,81;991.903,97;1.963.045.519,21;215.214,19;92.078.403,49;245.007,24;11.925.243,80;2.219.346,65;549.683,36;85.736,33;62.020,38;446.457.663,50;4.685.865,42;62.455.356,13;24.047.966,02;33.506.947,24;;;;;
2016;Fev;101;ÓRGÃO PÚBLICO DO PODER EXECUTIVO FEDERAL;11.101,81;;;;81.578,07;973.892.308,58;;;394.365,56;156.195.842,74;39.093,61;11.247,52;1.007,00;670.283.796,48;126.055.546,71;217.663,62;1.909.309.375,53;;;;;
2016;Fev;102;ÓRGÃO PÚBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;5.875,88;;3.814,24;;;23.894,64;;;101.440,65;71.586.958,61;289,55;;26.365.768,97;;841.557,36;56.656,02;346.788,36;;;;;
2016;Fev;103;ÓRGÃO PÚBLICO DO PODER EXECUTIVO MUNICIPAL;180,4;;;;1.170,05;162.385,94;;;11.684,49;2.910.226,81;363,58;;51.915,43;;307.191,52;14.876,43;56.144,99;;;;;
2016;Fev;104;ÓRGÃO PÚBLICO DO PODER LEGISLATIVO FEDERAL;;;;;;106.928.604,12;;;15.805,00;3.424,41;5.268,33;;;91.427.063,47;4.018.262,87;214,5;;;;;;
2016;Fev;105;ÓRGÃO PÚBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;;;;;;42.273,64;;;;1.045.704,40;;;2.427.248,18;8.973,33;160.170,73;;34.482,50;;;;;
2016;Fev;106;ÓRGÃO PÚBLICO DO PODER LEGISLATIVO MUNICIPAL;466,68;;;;;62.961,32;;72,82;342,44;53.972,61;328,74;;57.847,09;894,16;36.030,32;16.295,17;131.051,45;;;;;
2016;Fev;107;ÓRGÃO PÚBLICO DO PODER JUDICIÁRIO FEDERAL;534,84;;;;45.584,66;373.510.875,08;;;143.468,44;33.561,72;16.435,95;;;491.805.502,37;34.702.699,04;464.334,51;172.131,91;;;;;
2016;Fev;108;ÓRGÃO PÚBLICO DO PODER JUDICIÁRIO ESTADUAL;;;;;;934.330,30;;;;955.042,28;;;268.068,69;27.116,80;620.174,43;;167,32;;;;;
2016;Fev;110;AUTARQUIA FEDERAL;20.017,43;;100,03;;223.805,51;489.855.938,23;13.101,29;;93.951,89;4.755.345,07;34.651,09;294.241,60;84.027,14;750.029.077,71;121.120.801,49;119.560,69;3.350.860,18;;;;;
2016;Fev;111;AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;11.662,83;;;;27.924,46;38.150.014,53;;;;55.163.686,99;1.107,71;;1.712.339,45;;3.670.154,63;236.919,85;44.709,62;;;;;
2016;Fev;112;AUTARQUIA MUNICIPAL;;;170;;113,24;75.285,86;;;9.538,30;15.530.797,89;3.293,48;;321.428,04;;374.197,52;87.081,60;13.478,46;;;;;
2016;Fev;113;FUNDAÇÃO PÚBLICA DE DIREITO PÚBLICO FEDERAL;14.654,22;;;;16.139,75;113.699.588,33;;;40.552,62;5.500.100,76;13.563,19;;33.468,18;187.256.827,84;19.561.384,18;70.154,36;111.941,23;;;;;
2016;Fev;114;FUNDAÇÃO PÚBLICA DE DIREITO PÚBLICO ESTADUAL OU DO DISTRITO FEDERAL;365,5;;;;;175.956,34;;;3.568,03;4.775.609,36;;;8.261.562,48;;333.190,10;199.286,72;859,55;;;;;
2016;Fev;115;FUNDAÇÃO PÚBLICA DE DIREITO PÚBLICO MUNICIPAL;84,29;;;;;221.175,63;;;5.830,79;1.452.409,50;;;176.959,38;747,63;81.745,52;20.051,88;53.599,81;;;;;
2016;Fev;116;ÓRGÃO PÚBLICO AUTÔNOMO FEDERAL;;;;;;924.052,20;;;333,71;72,31;111,24;;;4.862.738,49;301.691,68;180.282,07;;;;;;
2016;Fev;117;ÓRGÃO PÚBLICO AUTÔNOMO ESTADUAL OU DO DISTRITO FEDERAL;;;;;;4.178,00;;;;42.761,20;;;9.802,23;;102.218,18;;;;;;;
2016;Fev;118;ÓRGÃO PÚBLICO AUTÔNOMO MUNICIPAL;;;;;;4.134,90;;;99,6;8.210,15;;;921,22;;;1.776,76;6.787,46;;;;;
2016;Fev;120;FUNDO PÚBLICO;;;;;2.435,34;225.614.275,64;869,48;;28.696,15;4.289.349,89;12.380,37;;122.192,06;;5.781.516,00;145.242,57;16.251,01;;;;;
2016;Fev;121;CONSÓRCIO PÚBLICO DE DIREITO PÚBLICO (ASSOCIAÇÃO PÚBLICA);;;;;;712.603,50;;;28.913,54;360.110,18;5.086,72;;389.208,11;;507.142,21;9.753,50;12.712,18;;;;;
2016;Fev;122;CONSÓRCIO PÚBLICO DE DIREITO PRIVADO;;;;;;215.781,56;;;;10.965,01;;;25.554,81;;42.329,54;529,56;;;;;;
2016;Fev;123;ESTADO OU DISTRITO FEDERAL;;;;;;3.401,06;;12,53;;330.551.127,65;;;4.804.111,19;;9.960.148,67;157.714,53;31.153,32;;;;;
2016;Fev;124;MUNICÍPIO;20,34;;891,43;;4.966,74;399.456,33;;1.312,54;27.557,75;353.776.366,24;3.559,70;4.938,51;10.343.066,21;4.054,77;6.859.232,64;168.509.423,27;4.396.438,57;;;;;
2016;Fev;125;FUNDAÇÃO PÚBLICA DE DIREITO PRIVADO FEDERAL;;;;;;94.091,49;2.123.649,13;;361,3;4.623,18;120,43;;;;104.572,18;;;;;;;
2016;Fev;126;FUNDAÇÃO PÚBLICA DE DIREITO PRIVADO ESTADUAL OU DO DISTRITO FEDERAL;;;;;;68.346,04;;;;314.139,32;;;13.230,43;1.729,81;45.374,67;;1.690,64;;;;;
2016;Fev;127;FUNDAÇÃO PÚBLICA DE DIREITO PRIVADO MUNICIPAL;120,27;;;;;1.199.237,14;;;210;169.975,30;70;;;;1.582.123,96;6.458,69;3.464,08;;;;;
2016;Fev;201;EMPRESA PÚBLICA;15.581.862,00;;273.407,16;;165.262.084,49;507.167.756,22;225.694.886,97;22.965,55;338.985.039,08;59.317.129,91;104.514.820,36;322.369,77;9.158.791,87;5.868.307,26;145.970.192,12;303.657.711,38;2.484.547,78;;;;;
2016;Fev;203;SOCIEDADE DE ECONOMIA MISTA;12.990.729,07;;8.201.172,53;;256.111.927,65;994.872.520,65;334.408.923,79;542.153,03;2.136.081.049,57;461.110.720,64;205.479.641,15;443.986.982,00;24.446.301,67;3.332.739,69;881.611.369,81;38.422.975,89;618.223.946,81;;;;;
2016;Fev;204;SOCIEDADE ANÔNIMA ABERTA;124.765.495,96;14.318,80;509.484.659,20;;339.930.245,59;1.199.477.440,47;760.812.574,37;293.094,28;1.702.881.568,17;341.533.244,51;246.890.962,28;13.897.588,36;86.372.055,02;;322.909.789,66;11.856.914,48;71.341.120,56;;;;;
2016;Fev;205;SOCIEDADE ANÔNIMA FECHADA;465.361.259,32;538.672,34;532.412.618,25;;1.751.059.818,72;3.225.917.603,36;1.209.190.771,57;2.606.364,12;2.853.107.204,50;575.009.039,05;1.131.331.765,58;69.656.055,81;368.550.503,48;;570.804.902,62;70.617.983,93;175.175.720,26;;;;;
2016;Fev;206;SOCIEDADE EMPRESÁRIA LIMITADA;2.022.968.294,34;1.770.826,43;2.071.875.787,22;64.542,62;2.596.726.372,82;2.822.769.481,28;55.099.242,65;2.626.032,55;6.196.777.494,73;1.325.945.053,92;1.326.768.281,59;144.024.125,75;828.574.778,20;2.758,59;4.380.879.579,07;195.417.484,92;220.997.762,03;;;;;
2016;Fev;207;SOCIEDADE EMPRESÁRIA EM NOME COLETIVO;;;14.795,85;;245.593,42;62.784,00;7.866,36;;243.010,13;81.759,43;182.347,01;;153.567,40;;910.007,66;13.248,88;27.639,29;;;;;
2016;Fev;208;SOCIEDADE EMPRESÁRIA EM COMANDITA SIMPLES;58.581,30;;24.684,52;;31.448,78;39.840,49;;;178.198,09;38.212,96;19.693,90;;;;47.035,02;4.060,86;7.499,38;;;;;
2016;Fev;209;SOCIEDADE EMPRESÁRIA EM COMANDITA POR AÇÕES;5.104,45;;1.125,61;;9.376,33;30.660,33;;231,85;256.183,02;52.744,32;20.015,66;;121.000,98;;2.928,48;1.400,05;21;;;;;
2016;Fev;210;SOCIEDADE MERCANTIL DE CAPITAL E INDÚSTRIA;;;935,75;;1.077,73;51,18;;;2.425,55;513,75;1.046,90;;1.456,13;;16.281,86;400;;;;;;
2016;Fev;212;SOCIEDADE EM CONTA DE PARTICIPAÇÃO;;;99.334,04;;389.412,87;18.676,91;;;512.273,95;111.102,83;214.690,02;;;;69.355,81;7.253,79;240,11;;;;;
2016;Fev;213;EMPRESÁRIO (INDIVIDUAL);3.202.796,36;2.806,78;2.976.009,85;518,19;32.739.608,25;24.962.736,43;30.357,11;2.449,40;55.061.663,56;12.406.139,66;23.563.851,14;366,96;12.217.326,42;545,61;1.188.228.760,91;12.214.465,17;4.007.428,06;;;;;
2016;Fev;214;COOPERATIVA;4.698.127,60;;2.718.578,57;;48.357.633,01;356.864.414,42;45.047.625,12;11.529,32;71.467.652,76;19.199.780,45;25.379.865,04;126.252,17;17.160.366,69;;66.002.066,65;5.771.377,49;4.423.966,61;;;;;
2016;Fev;215;CONSÓRCIO DE SOCIEDADES;567.497,24;;41.899,30;;535.983,96;21.038.967,46;;13,73;1.884.414,03;423.040,01;299.448,17;128.490,48;7.713.715,48;534,75;7.656.606,44;52.818,46;645.842,66;;;;;
2016;Fev;216;GRUPO DE SOCIEDADES;;;;;;;;;;;;;;;;;21;;;;;
2016;Fev;217;ESTABELECIMENTO, NO BRASIL, DE SOCIEDADE ESTRANGEIRA;330.203,39;;73.774,97;;3.032.222,70;7.999.745,29;1.162.464,54;10.594,63;3.871.682,53;773.951,59;1.776.205,32;10.823,42;62.567,35;;2.152.963,30;588.887,99;132.852,32;;;;;
2016;Fev;221;EMPRESA DOMICILIADA NO EXTERIOR;10.526,98;;;;30.367,25;2.578.135,24;;12,53;589,52;133,96;151,38;;;;12.193,01;10;1.298,72;;;;;
2016;Fev;222;CLUBE/FUNDO DE INVESTIMENTO;314,67;;;;;30.145.662,66;;;25,79;11,81;;;;;14.980,33;10;92,5;;;;;
2016;Fev;223;SOCIEDADE SIMPLES PURA;29.225,38;;;127,38;79.348.071,30;23.716.472,01;234.414,33;130,38;30.080.437,72;6.472.235,45;28.413.851,13;848.712,22;841.409,20;;67.787.888,96;641.809,07;230.885,11;;;;;
2016;Fev;224;SOCIEDADE SIMPLES LIMITADA;371.105,11;;9.075,20;862,34;123.162.302,13;57.215.564,31;140.091,42;132.110,41;70.772.669,58;15.378.666,49;51.336.773,24;999.690,56;13.957.581,80;600,82;229.772.733,96;4.297.810,52;1.708.469,22;;;;;
2016;Fev;225;SOCIEDADE SIMPLES EM NOME COLETIVO;;;;;39.960,26;27.321,32;;;54.923,60;20.246,29;22.097,96;;3.231,35;;151.956,88;1.138,85;4.542,71;;;;;
